01,*Sync Sweep,Pop
02,Kong,Pop
03,*Full Orch.,Orchestral
04,*Rhodes 6A p,Piano
05,GR-300 Saw 2,Vintage
06,OB Saw 1A,Vintage
07,MG Saw 2,Vintage
08,KG700 Saw,Vintage
09,KG800 Lead,Vintage
10,SH-1000 Puls,Vintage
11,2600 Sine,Vintage
12,*OB Str 2A,Vintage
13,*VPChr/TrnFl,Vintage
14,*JpnPrc Menu,World
15,Bagpipes 1,World
16,Bagpipes 4,World
17,Brass Fall,Super Sound
18,Harp m7 Up,Super Sound
19,Harp m7 Lp,Super Sound    
20,*B3 2 A,'60s&'70s
21,B3 2 FL A,'60s&'70s
22,B3 Click,'60s&'70s
23,*D.MuteGt p,Session
24,*D.MuteGt mp,Session
25,*D.MuteGt mf,Session
26,Juno Rave A,Session
27,AL Grunge 85,Bass&Drums
